state,jurisdiction,document,pdf_url,text_url,title
Illinois,State,Illinois Police Bill of Rights,https://www.checkthepolice.org/s/Illinois-PBR.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Illinois/State/Illinois%20Police%20Bill%20of%20Rights.txt,State Illinois Police Bill of Rights
Illinois,Chicago,Police Union Contract Accountability Fact Sheet,https://www.dropbox.com/s/2o3dtucoap7fw7h/Chicago%20Police%20Contract%20Police%20Accountability%20Review%207.10.15.pdf?dl=0,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Illinois/Chicago/Police%20Union%20Contract%20Accountability%20Fact%20Sheet.txt,Chicago Police Union Contract Accountability Fact Sheet
Illinois,Chicago,Police Union Contract,https://www.checkthepolice.org/s/Chicagopolicecontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Illinois/Chicago/Chicago%20Police%20Union%20Contract.txt,Chicago Police Union Contract
Arizona,Phoenix,Police Union Contract,https://www.checkthepolice.org/s/Phoenix-police-union-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Arizona/Phoenix/Police%20Union%20Contract.txt,Phoenix Police Union Contract
Arizona,Chandler,sergeant's,https://www.checkthepolice.org/s/Chandler-police-sergeants-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Arizona/Chandler/sergeant%27s.txt,Chandler sergeant's
Arizona,Chandler,police officers,https://www.checkthepolice.org/s/Chandler-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Arizona/Chandler/police%20officers.txt,Chandler police officers
Arizona,Tucson,Police Union Contract,https://www.checkthepolice.org/s/Tucson-police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Arizona/Tucson/Police%20Union%20Contract.txt,Tucson Police Union Contract
Arizona,Mesa,Police Union Contract,https://www.checkthepolice.org/s/Mesa-Police-Union-Contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Arizona/Mesa/Police%20Union%20Contract.txt,Mesa Police Union Contract
Indiana,Fort Wayne,Police Union Contract,https://www.checkthepolice.org/s/Fort-Wayne-Police-contract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Indiana/Fort%20Wayne/Police%20Union%20Contract.txt,Fort Wayne Police Union Contract
Indiana,Indianapolis,Police Union Contract,https://www.checkthepolice.org/s/Indianapolispolicecontract.pdf,https://raw.githubusercontent.com/PoliceContracts/PoliceContracts/master/Indiana/Indianapolis/Police%20Union%20Contract.txt,Indianapolis Police Union Contract
